Benchmark,IPC
sjeng,0.784309859067554
libquantum,0.6515864496166812
calculix,0.04596457252043194
mcf,0.11894424668076466
zeusmp,0.4711688749964656
milc,0.3326056463555926
perlbench,0.7017046188158079
leslie3d,0.21541969870029123
hmmer,0.980897921447065
namd,0.5759243794812324
cactusADM,0.48300643747410643
bwaves,0.32078366876117814
lbm,0.1515069264379361
bzip2,0.9278948976123207
GemsFDTD,0.4082428451343854
gromacs,0.5828627203216014
povray,0.03238202288607298
astar,0.6195280669861014
omnetpp,0.5199309958544817
gobmk,0.7563037183553781
h264ref,1.0589470142322157
