Benchmark,Instructions,Cycles,Seconds,Branches,Branch-misses
DPcvt,20502964,24646860,0.020531,821632,1382
STc,22984563,24667860,0.020548,1642441,2182
EM1,22005367,26038079,0.021690,2000841,479
DP1f,24583582,30009217,0.024998,820248,681
DPTd,23010187,30866592,0.025712,2464848,3728
DPT,23770968,34056064,0.028369,2459241,932
ML2_BW_st,26219785,48172264,0.040127,820043,481
MIM2,18778375,54469540,0.045373,208592,3783
ED1,28005372,38038392,0.031686,2000841,481
MIM,18778357,65964690,0.054949,208585,3782
DP1d,42675212,56602785,0.047150,1377508,752
ML2_BW_ldst,49157421,67854450,0.056523,820057,489
STL2,47518983,90163464,0.075106,1639247,484
CCl,84531859,60572682,0.050457,1049481,32070
M_Dyn,55710966,96972255,0.080778,820031,481
EM5,56005391,92039229,0.076669,2000841,481
MI,79515746,73030515,0.060834,826434,3779
CCh,92559204,82326678,0.068578,6554601,288398
CCa,96503027,79771629,0.066450,8393545,2579
MD,41505219,127830307,0.106483,4168402,29239
CCm,100697331,88171078,0.073447,8393545,4653
ML2_BW_ld,81925385,121304591,0.101047,1639243,483
MIP,90771364,165898275,0.138193,2841,477
CCh_st,134374901,133211245,0.110965,8389951,723039
EF,112005392,174039467,0.144975,2000834,478
EI,144005423,142039052,0.118319,2000834,476
CS1,185365751,151927537,0.126556,33563465,29262
MCS,67179762,298235231,0.248430,820041,482
CS3,186840311,153689271,0.128023,33563465,115275
CRd,196449213,163051572,0.135822,15348015,477055
MC,74552544,301511897,0.251159,820034,476
CCe,256559364,216151589,0.180054,18006841,9562
CRf,316355991,265388938,0.221069,20634044,857387
