Benchmark,Instructions,Cycles,Seconds,Branches,Branch-misses
DP1d,42675641,52979905,0.044132,1377551,663
CS1,185370265,202663840,0.168819,33563509,57840
EF,112005812,194038981,0.161634,2000879,467
CCh_st,140727475,173926824,0.144881,8390000,1964536
CCe,270062781,297123429,0.247504,18006885,3491
DPT,25819398,43877891,0.036550,2459285,819675
CCl,89801332,89708050,0.074727,1049525,336158
MD,41511801,101238879,0.084332,4166398,27087
DPTd,25058610,40679038,0.033886,2464891,819677
CRf,316356376,316157650,0.263359,20634088,1461409
MIP,101771781,123944929,0.103246,2885,467
EM5,66005809,118038175,0.098326,2000885,466
CS3,186844825,204925018,0.170703,33563509,164341
ED1,28005789,46038072,0.038350,2000885,466
STc,22984995,29612191,0.024667,1642485,5288
EM1,22005784,32038272,0.026688,2000885,466
CCm,104890004,113362080,0.094431,8393589,6635
MIM2,18778804,38192234,0.031814,208635,3690
DPcvt,20503390,26283571,0.021894,821674,1294
M_Dyn,55711392,71700757,0.059727,820073,468
CCa,104892052,109139100,0.090913,8393589,2531
MI,80335381,89464438,0.074524,826479,10091
MC,74552979,187498237,0.156186,820079,469
CCh,98311220,113171350,0.094272,6554645,667575
MCS,67180194,90970578,0.075778,820085,468
DP1f,24584011,30141699,0.025108,820291,592
MIM,18778789,43463604,0.036205,208629,3690
ML2_BW_ld,81925822,109057073,0.090845,1639289,466
STL2,47519412,46478741,0.038717,1639290,467
EI,176005845,242038616,0.201618,2000879,467
CRd,196449610,216632296,0.180455,15348059,4370337
ML2_BW_ldst,49157852,62638976,0.052178,820101,465
ML2_BW_st,26220222,26786558,0.022313,820089,466
