Benchmark,Type,Total Instructions,Total Cycles,Total Branches,Total Branch-Misses,Total Seconds,IPC,Branch-Miss-Rate,IPS
calculix,train,6022514907,8438303069,874772330,161791290,7.029106,0.713711614498069,0.18495245500049137,856796711.7013174
gobmk,train,388929460976,561933024498,52231135327,18694879489,468.09021099999995,0.6921277875124854,0.3579259645029389,830885696.4667437
astar,train,229080524033,416619279001,35303235520,10726868193,347.043859,0.5498557929971603,0.30384943575279416,660090988.7675033
GemsFDTD,train,123470185636,223238771319,3006434372,118769582,185.957897,0.5530857606251812,0.03950513043163145,663968498.3961719
perlbench,train,148703129053,262499252066,20079223585,11415500209,218.661876,0.5664897247616221,0.568522988982893,680059696.611219
milc,train,30763866420,87274449730,1695529583,84381780,72.699617,0.35249567903520257,0.04976721187647954,423164078.29218686
lbm,train,80132720802,214785898207,1105881748,27128123,178.916653,0.3730818525375072,0.024530762940125857,447877374.51135975
cactusADM,train,93577802516,147436661624,181165555,8827985,122.814739,0.6346983273037379,0.04872882706649175,761942770.6962761
zeusmp,train,87982827826,146101421533,2602322993,112201793,121.702484,0.6022037766834957,0.043116013385660464,722933706.316134
gromacs,train,325271790232,504926658732,11229772105,1756688160,420.603907,0.6441961116666739,0.1564313276863244,773344671.3608392
bwaves,train,117763711480,309786432975,5803626454,527254890,258.052099,0.3801448318735883,0.09084921198479326,456356340.1977986
libquantum,train,11872203110,14272682319,2140747305,6993986,11.889144,0.8318130288793405,0.003267076867813691,998575095.9026151
povray,train,40609023802,69494325128,3293555065,1623290977,57.888773,0.5843502145995831,0.492868934923971,701500855.8222507
namd,train,47942043580,74032300652,3023405507,299414637,61.668906,0.6475827869426727,0.09903224569339915,777410314.0405961
bzip2,train,225816884595,298856618386,25294877557,4725449749,248.947563,0.755602756313522,0.1868144938970973,907086142.4540235
mcf,train,17707795660,117517421193,3772095386,307127075,97.892012,0.15068230293207605,0.0814208135191627,180891119.69626287
