Benchmark,Instructions,Cycles,Seconds,Branches,Branch-misses
astar,1104115928733,3397663337588,2850.800079551,163891788187,486656964
bzip2,3128326552272,5611096500726,4703.676843222,361784647836,805000337
gobmk,2060120391588,2883272032264,2423.029354304,283450916036,2802771023
lbm,1050743030078,12030058073882,10068.085311183,13340035898,1183891701
mcf,304283952516,5658650784183,4741.296681129,66992697292,690538428
omnetpp,635839646292,3637595769253,3053.430923202,103399269926,11330066404
perlbench,2763503143,5021975046,4.202977717,455860350,25672387
zeusmp,1562641323749,7144320991745,5983.365538642,44914865624,776331358
cactusADM,3244401218895,11110113273450,9299.007279210,6892248703,1545770058
h264ref,5799229724684,6719059787401,5629.985103141,288983845798,120084012193
hmmer,3818633878354,4534452535848,3801.268548941,510038689207,574629285
libquantum,2175690843022,12347183152014,10333.518171261,398714457943,1225861278
sjeng,2941042667261,3566974109039,2992.356080071,401990416695,16997886584
milc,996495496210,6416562936429,5374.890774785,55863209115,3072080564
GemsFDTD,1655983035668,10646593184865,8917.416383876,38718255019,1120210395
