Benchmark,Instructions,Cycles,Seconds
control_small_bbl,2000007715,4000049785,3.332041
control_conditional,5500007544,5500048918,4.581541
control_complex,8750008912,10750051248,8.954793
control_switch,10900007445,13400050668,11.162242
dependency_chain6,32000007265,19000049700,15.827041
dependency_chain5,32000007264,19000049700,15.827041
dependency_chain3,32000007262,19000049059,15.827041
dependency_chain2,34000007261,20000048973,16.660041
dependency_chain4,34000007263,20000049665,16.660041
execution_int_add_ind,34000007327,20000049680,16.660041
dependency_chain1,34000007259,20000048973,16.660041
execution_int_mul_ind,34000007330,32000049579,26.656041
control_random,60000005057,50165778800,41.788094
