Benchmark,Instructions,Cycles,Seconds,IPC,IPS
control_complex,8764220725,7977152342,6.675935661,1.0986653318448059,1312807847.4751496
control_conditional,5508132093,4513173400,3.775819469,1.2204565623381542,1458791167.910046
control_random,60081559153,49914968632,41.740539683,1.2036781911244616,1439405422.385324
control_small_bbl,2004132796,2007954924,1.680790452,0.9980965070707932,1192375167.0621698
control_switch,10921440552,11389159976,9.525550909,0.9589329305246735,1146541618.047637
dependency_chain1,34052804623,32081242139,26.827746280,1.0614553038644112,1269312907.1518862
dependency_chain2,34031515673,17054332257,14.262428944,1.9954762907255819,2386095370.3342776
dependency_chain3,32026694981,16041257313,13.414961738,1.99652024502127,2387386233.8555408
dependency_chain4,34032857851,18055071690,15.105082268,1.8849472566674699,2253073319.7725344
dependency_chain5,32028562607,17043570931,14.253003053,1.8792166698320412,2247144863.991211
dependency_chain6,32031975315,17056413115,14.264895108,1.8780018459350034,2245510750.165693
execution_int_add_ind,34029943118,18046371881,15.091556372,1.885694439990356,2254899513.2892447
execution_int_mul_ind,34060803438,33103611302,27.683080141,1.0289150367090665,1230383442.3234673
