Benchmark,instructions,cycles,seconds,branches,branch-misses
DPcvt,20503390,26283571,0.021894,824191,1294
MIM,18778789,43463604,0.036205,213549,3690
MIM2,18778804,38192234,0.031814,213555,3690
DP1f,24584011,30141699,0.025108,822119,592
STc,22984995,29612191,0.024667,1652185,5288
EM1,22005784,32038272,0.026688,2002523,466
ML2_BW_st,26220222,26786558,0.022313,821758,466
ED1,28005789,46038072,0.038350,2002544,466
DPTd,25058610,40679038,0.033886,8204171,819677
DPT,25819398,43877891,0.036550,8195759,819675
DP1d,42675641,52979905,0.044132,1379463,663
ML2_BW_ldst,49157852,62638976,0.052178,821788,465
STL2,47519412,46478741,0.038717,1640959,467
M_Dyn,55711392,71700757,0.059727,821725,468
MD,41511801,101238879,0.084332,4258209,27087
MI,80335381,89464438,0.074524,837812,10091
CCl,89801332,89708050,0.074727,1481522,336158
ML2_BW_ld,81925822,109057073,0.090845,1640945,466
EM5,66005809,118038175,0.098326,2002546,466
MCS,67180194,90970578,0.075778,821730,468
CCa,104892052,109139100,0.090913,8399363,2531
CCh,98311220,113171350,0.094272,7726353,667575
CCm,104890004,113362080,0.094431,8411665,6635
MIP,101771781,123944929,0.103246,6504,467
EF,112005812,194038981,0.161634,2002517,467
MC,74552979,187498237,0.156186,821754,469
CCh_st,140727475,173926824,0.144881,11521255,1964536
EI,176005845,242038616,0.201618,2002497,467
CS1,185370265,202663840,0.168819,33745413,57840
CS3,186844825,204925018,0.170703,34064902,164341
CRd,196449610,216632296,0.180455,40937252,4370337
CCe,270062781,297123429,0.247504,22514556,3491
CRf,316356376,316157650,0.263359,51223214,1461409
