Benchmark,Instructions,Cycles,Seconds,Branches,Branch-misses
CCa,104892075,109135941,0.09091,8393589,2528
CCe,270062804,297119127,0.2475,18006885,3488
CCh,98311243,112458451,0.093678,6554645,660502
CCh_st,140655855,172246134,0.143481,8390000,2030029
CCl,89799243,89343781,0.074423,1049525,332343
CCm,104890027,113346200,0.094417,8393589,6632
CRd,196449633,211290555,0.176005,15348059,4370334
CRf,316356399,312689630,0.26047,20634088,1457226
CS1,185370288,202597012,0.168763,33563509,57837
CS3,186844848,204752038,0.170558,33563509,164338
DP1d,42675664,52983057,0.044135,1377551,660
DP1f,24584034,30138030,0.025105,820291,589
DPcvt,20503449,26281151,0.021892,821674,1289
DPT,25819421,42647322,0.035525,2459285,819672
DPTd,25058633,39451647,0.032863,2464891,819674
ED1,28005812,46036715,0.038349,2000885,463
EF,112005835,194036996,0.161633,2000879,464
EI,176005868,242037446,0.201617,2000879,464
EM1,22005807,32036634,0.026687,2000885,463
EM5,66005832,118036630,0.098325,2000885,463
M_Dyn,55711451,71676057,0.059706,820073,463
MC,74553002,186815663,0.155617,820079,466
MCS,67180217,90968625,0.075777,820085,465
MD,41511824,101195443,0.084296,4166398,27084
MI,80335404,89451712,0.074513,826479,10088
MIM,18778812,43459359,0.036202,208629,3687
MIM2,18778827,38185430,0.031808,208635,3687
MIP,101771804,123942815,0.103244,2885,464
ML2_BW_ld,81925845,109052760,0.090841,1639289,463
ML2_BW_ldst,49157875,62633343,0.052174,820101,461
ML2_BW_st,26220245,26786138,0.022313,820089,463
STc,22985018,29605677,0.024662,1642485,5285
STL2,47519435,46478616,0.038717,1639290,464
