Benchmark,Instructions,Cycles,Seconds,Branches,Branch-misses
control_complex,8750009037,8750049718,7.288791,3000001354,774
control_conditional,5500007665,4500048337,3.74854,2000001152,643
control_random,60000005164,45666208634,38.039952,5000000907,2333248065
control_small_bbl,2000007887,2000048816,1.666041,1000001227,623
control_switch,10900007552,9800049342,8.163441,3000001111,693
dependency_chain1,34000007431,18000047615,14.99404,1000001099,619
dependency_chain2,34000007433,18000047616,14.99404,1000001099,619
dependency_chain3,32000007434,17000047614,14.16104,1000001099,619
dependency_chain4,34000007435,18000048290,14.99404,1000001099,619
dependency_chain5,32000007436,17000048243,14.16104,1000001099,619
dependency_chain6,32000007437,17000048242,14.16104,1000001099,619
execution_int_add_ind,34000007453,18000047840,14.99404,1000001123,629
execution_int_mul_ind,34000007456,32000048228,26.65604,1000001126,630
