Benchmark,Instructions,Cycles,Seconds,IPC,IPS
CCa,56522,98260,0.000082,0.575229,689292682.9268292
CCe,81135,135957,0.000113,0.596770,718008849.5575222
CCh,1186937,1837140,0.001530,0.646079,775775816.9934641
CCh_st,101738,171483,0.000143,0.593283,711454545.4545454
CCl,124025,175946,0.000147,0.704904,843707482.9931973
CCm,64715,122640,0.000102,0.527683,634460784.3137255
CF1,19782,64664,0.000054,0.305920,366333333.3333334
CRd,85354045,110628615,0.092154,0.771537,926210962.0852052
CRf,168578,269087,0.000224,0.626481,752580357.1428572
CRm,62128,131375,0.000109,0.472906,569981651.3761468
CS1,15696,61672,0.000051,0.254508,307764705.88235295
CS3,87248,182909,0.000152,0.477002,574000000.0
DP1d,266354,610859,0.000509,0.436032,523288801.5717092
DP1f,138342,321358,0.000268,0.430492,516201492.5373134
DPT,195729,422557,0.000352,0.463201,556048295.4545455
DPTd,97456,232301,0.000194,0.419525,502350515.46391755
DPcvt,35960,135914,0.000113,0.264579,318230088.49557525
ED1,19533,85501,0.000071,0.228453,275112676.056338
EF,48224,101678,0.000085,0.474282,567341176.4705882
EI,40014,89767,0.000075,0.445754,533520000.00000006
EM1,23625,69390,0.000058,0.340467,407327586.20689654
EM5,40018,85594,0.000071,0.467533,563633802.8169013
MC,261210,2487674,0.002072,0.105002,126066602.31660232
MCS,195701,320020,0.000267,0.611527,732962546.8164794
MD,521578,925093,0.000771,0.563811,676495460.4409858
MI,171245,272992,0.000227,0.627289,754383259.9118943
MIM,46336,378255,0.000315,0.122499,147098412.6984127
MIM2,46315,338964,0.000282,0.136637,164237588.65248224
MIP,51259,151187,0.000126,0.339044,406817460.3174603
ML2,728144,3183466,0.002652,0.228727,274564102.5641026
ML2_BW_ld,531576,2354887,0.001962,0.225733,270935779.8165137
ML2_BW_ldst,564374,2452787,0.002043,0.230095,276247674.9877631
ML2_BW_st,367736,986492,0.000822,0.372771,447367396.59367394
ML2_st,793686,3247843,0.002705,0.244373,293414417.74491686
MM,7848123,13151672,0.010955,0.596740,716396439.9817436
MM_st,7782595,13036337,0.010859,0.596992,716695367.8975965
M_Dyn,93271,244522,0.000204,0.381442,457210784.3137255
STL2,52296,244750,0.000204,0.213671,256352941.17647058
STL2b,271192,727773,0.000606,0.372633,447511551.15511554
STc,72913,133174,0.000111,0.547502,656873873.8738738
