Benchmark,Instructions_perf,Cycles_perf,Seconds_perf,Instructions_gem5,Cycles_gem5,Seconds_gem5,IPC_gem5,IPS_gem5,IPC_perf,IPS_perf,M_Instructions_diff,M_Cycles_diff,BIPS_diff,IPC_diff,Seconds_diff,M_Instructions_%diff,M_Cycles_%diff,BIPS_%diff,IPC_%diff,Seconds_%diff
CCa,105375718,89247688,0.075466,104892052,109139100,0.090913,0.9610859169628483,1153762960.1927118,1.180710899760227,1396333686.6933453,-0.483666,19.891412,-0.24257072650063347,-0.21962498279737863,0.015446999999999989,-0.004589918903328374,0.22287873720605514,-0.17371974107067822,-0.1860108031881293,0.20468820395939877
CCe,270822139,231188780,0.194147,270062781,297123429,0.247504,0.9089245567369916,1091145116.8465965,1.1714328826857427,1394933421.5826154,-0.759358,65.934649,-0.3037883047360189,-0.2625083259487512,0.053357000000000016,-0.0028038992779685565,0.28519830849922734,-0.21777978793522437,-0.22409164863709363,0.2748278366392477
CCh,98826846,90537025,0.076536,98311220,113171350,0.094272,0.8686935341851095,1042846444.3312967,1.0915627722470447,1291246550.6428347,-0.515626,22.634325,-0.24840010631153797,-0.22286923806193515,0.017735999999999988,-0.005217468945634469,0.25000075935784283,-0.19237232903962018,-0.20417445860960062,0.23173408592035102
CCh_st,141417927,143038870,0.121708,140727475,173926824,0.144881,0.8091188682891145,971331472.0356706,0.9886678145597767,1161944383.2780097,-0.690452,30.887954,-0.190612911242339,-0.1795489462706622,0.023173000000000013,-0.0048823513018968236,0.2159409816366698,-0.16404650169622836,-0.18160694990421006,0.19039833043021012
CCl,90311384,100453281,0.0849595,89801332,89708050,0.074727,1.0010398397914122,1201725373.693578,0.8990386685328875,1062993355.6576958,-0.510052,-10.745231,0.13873201803588223,0.1020011712585247,-0.010232499999999992,-0.005647704391286928,-0.1069674468870758,0.130510710436234,0.11345582212273156,-0.12043973893443338
CCm,105368842,93431370,0.0790782,104890004,113362080,0.094431,0.9252653444608638,1110758162.044244,1.1277672798761273,1332463839.5916953,-0.478838,19.93071,-0.22170567754745127,-0.2025019354152635,0.0153528,-0.004544398428522162,0.21331925240954938,-0.16638776299954838,-0.17956003780984503,0.19414705949300817
CRd,197046266,156868348,0.1323376,196449610,216632296,0.180455,0.9068343623150262,1088634895.1262088,1.2561250788463711,1488966597.5505073,-0.596656,59.763948,-0.40033170242429855,-0.3492907165313449,0.048117400000000005,-0.0030279995257560476,0.3809815604101345,-0.2688654688982832,-0.2780700126233723,0.3635958336859668
CRf,317148161,252334994,0.2117931,316356376,316157650,0.263359,1.000628566159952,1201236244.0622876,1.2568536609710186,1497443311.420438,-0.791785,63.822656,-0.2962070673581505,-0.2562250948110665,0.0515659,-0.0024965776169201875,0.25292827993567946,-0.19780853478665295,-0.20386231330472665,0.2434729932183815
CS1,185984227,153928707,0.12957,185370265,202663840,0.168819,0.9146686700498717,1098041482.2976086,1.2082491344515744,1435395747.4724088,-0.613962,48.735133,-0.33735426517480016,-0.2935804644017027,0.039249000000000006,-0.0033011509088886337,0.3166084738176876,-0.23502526447416885,-0.24298007425013318,0.30291734197730963
CS3,187450375,156017377,0.1314459,186844825,204925018,0.170703,0.911771665673344,1094560874.735652,1.2014711348467293,1426064829.7132127,-0.60555,48.907641,-0.33150395497756074,-0.2896994691733853,0.03925709999999999,-0.003230454993755014,0.31347560086207577,-0.23246064840139666,-0.24112062351821878,0.2986559489493395
DP1d,43258822,62371884,0.051518,42675641,52979905,0.044132,0.8055061820137277,966999932.0221155,0.6935628559817113,839683644.5514189,-0.583181,-9.391979,0.12731628747069657,0.1119433260320164,-0.007386000000000004,-0.01348120390333329,-0.15058033199702608,0.15162411260101688,0.16140328892550765,-0.14336736674560355
DP1f,25028548,28411006,0.0246974,24584011,30141699,0.025108,0.8156146407009107,979130595.8260316,0.8809455040064403,1013408213.0102763,-0.444537,1.730693,-0.034277617184244755,-0.06533086330552962,0.0004105999999999971,-0.01776119813262839,0.060916287159983,-0.03382409649357871,-0.07415993725878872,0.01662523180577701
DPT,26234084,27721654,0.024478,25819398,43877877,0.03655,0.5884377222717498,706413077.9753762,0.9463390604326856,1071741318.7351907,-0.414686,16.156223,-0.3653282407598145,-0.3579013381609357,0.012072,-0.015807146153835598,0.5828015528943548,-0.3408735245842294,-0.3781956733322367,0.49317754718522755
DPTd,25450552,26071228,0.023041,25058610,40679038,0.033886,0.6160079301776998,739497432.5680223,0.9761930661647391,1104576711.0802484,-0.391942,14.60781,-0.3650792785122261,-0.3601851359870393,0.010845,-0.015400137490141668,0.5603038721459533,-0.3305150967334697,-0.36896916037534694,0.47068269606353896
DPcvt,20894603,28208840,0.0244049,20503390,26283571,0.021894,0.7800838782523121,936484424.9566091,0.7407111742276534,856164253.8998315,-0.391213,-1.925269,0.08032017105677759,0.039372704024658645,-0.0025109,-0.01872316023424805,-0.06825055549962353,0.09381397400197322,0.05315527211495484,-0.1028850763576167
ED1,28417443,38969946,0.0334039,28005789,46038072,0.03835,0.6083180242647868,730268292.046936,0.7292143283955281,850722310.8678926,-0.411654,7.068126,-0.12045401882095659,-0.12089630413074137,0.004946100000000002,-0.014485962019876314,0.18137376941707847,-0.14159029013600385,-0.1657898088710715,0.14806953679061433
EF,112674332,195496786,0.1644475,112005812,194038981,0.161634,0.5772335611265655,692959476.3477981,0.5763487692324517,685169017.4675808,-0.66852,-1.457805,0.007790458880217314,0.0008847918941138344,-0.0028134999999999966,-0.005933205798814943,-0.0074569256601487045,0.011370127197244327,0.0015351674911914007,-0.017108803721552452
EI,176628198,145556428,0.1224293,176005845,242038616,0.201618,0.7271808437377613,872966922.5961968,1.2134688960627695,1442695482.2089157,-0.622353,96.482188,-0.569728559612719,-0.48628805232500827,0.07918869999999999,-0.003523520066710979,0.6628507536609788,-0.3949056239785306,-0.4007420823910874,0.6468116700822433
EM1,22385390,26901268,0.0232981,22005784,32038272,0.026688,0.6868592663174843,824557254.1966426,0.832131407337379,960824702.443547,-0.379606,5.137004,-0.13626744824690437,-0.14527214101989472,0.0033899000000000012,-0.01695775682264191,0.1909576901728201,-0.14182342304517376,-0.17457836555494372,0.14550113528571004
EM5,66487978,77165672,0.065386,66005809,118038175,0.098326,0.5591903551541694,671295577.9753066,0.8616263718924135,1016853424.280427,-0.482169,40.872503,-0.3455578463051204,-0.30243601673824416,0.03294,-0.007251972679933205,0.5296720930519467,-0.33983053806368724,-0.3510059889114068,0.5037775670632857
MC,75270036,150149359,0.1281,74552979,187498237,0.156186,0.3976196266848098,477334581.84472364,0.5013010811454747,587588103.0444965,-0.717057,37.348878,-0.1102535211997729,-0.10368145446066485,0.028086,-0.009526460170684653,0.2487448381314768,-0.1876374293974153,-0.20682471744076908,0.21925058548009368
MCS,67887942,123429907,0.11542,67180194,90970578,0.075778,0.738482655348194,886539549.7373909,0.5500120971491942,588181788.2516029,-0.707748,-32.459329,0.29835776148578796,0.18847055819899983,-0.039642,-0.010425238697028112,-0.26297782919013296,0.50725433436603,0.3426662052996191,-0.3434586726737134
MD,42118354,103510052,0.0875182,41511801,101238879,0.084332,0.41003813366997083,492242576.95773846,0.40690109980816164,481252516.61940026,-0.606553,-2.271173,0.010990060338338195,0.003137033861809191,-0.0031862,-0.014401156322490664,-0.021941569500902192,0.022836369595610265,0.007709573317172608,-0.036406141808218176
MI,80844149,83297645,0.0704932,80335381,89464438,0.074524,0.8979588180054292,1077979993.022382,0.9705454337874738,1146836134.5491478,-0.508768,6.166793,-0.06885614152676582,-0.07258661578204462,0.004030800000000001,-0.006293195070925912,0.07403322146742564,-0.06004008720377042,-0.0747895083064595,0.05717998331753986
MIM,19223394,21743516,0.0189125,18778789,43463604,0.036205,0.43205779713987824,518679436.5419141,0.8840977696523414,1016438545.9352281,-0.444605,21.720088,-0.497759109393314,-0.4520399725124632,0.017292500000000002,-0.023128329992091926,0.9989225293646161,-0.48970900541293855,-0.5113008855233526,0.9143423661599474
MIM2,19209188,21495110,0.0186707,18778804,38192234,0.031814,0.4916916878965499,590268561.0108757,0.8936538589474536,1028841339.6391138,-0.430384,16.697124,-0.43857277862823807,-0.40196217105090376,0.013143300000000004,-0.022405111553908473,0.7767870925061561,-0.42627834023667444,-0.4497962684616337,0.7039532529578433
MIP,102472705,185466794,0.156065,101771781,123944929,0.103246,0.8211048392306555,985721296.7088313,0.5525124082319556,656602729.6318841,-0.700924,-61.521865,0.3291185670769472,0.2685924309986999,-0.052819000000000005,-0.006840104396580534,-0.33171363818366323,0.5012445916291931,0.486129228949261,-0.33844231570179095
ML2_BW_ld,82678279,103455184,0.084504,81925822,109057073,0.090845,0.7512197030998622,901819824.9766085,0.7991699961598832,978394857.0481871,-0.752457,5.601889,-0.07657503207157862,-0.047950293060020965,0.006340999999999999,-0.009101023982369057,0.0541479777369107,-0.07826597975239276,-0.06000011673414721,0.07503786802991574
ML2_BW_ldst,51356999,91873458,0.077587,49157852,62638976,0.052178,0.7847805813428368,942118364.0614818,0.5589971262429243,661927887.4038177,-2.199147,-29.234482,0.28019047665766417,0.2257834550999125,-0.025409,-0.04282078475808137,-0.3182037841658251,0.42329456424115025,0.4039080784143305,-0.3274904300978257
ML2_BW_st,28055801,65478398,0.055038,26220222,26786558,0.022313,0.9788574552953014,1175109667.0102632,0.4284741511238562,509753279.55230933,-1.835579,-38.69184,0.6653563874579539,0.5503833041714452,-0.032725,-0.06542600583743804,-0.5909099975231527,1.3052518034652036,1.2845192708307613,-0.5945891929212543
M_Dyn,56444816,99152109,0.084165,55711392,71700757,0.059727,0.7769986584660467,932767291.1748455,0.5692749914174796,670644757.3219272,-0.733424,-27.451352,0.2621225338529183,0.20772366704856704,-0.024438,-0.012993646750482807,-0.2768609994972472,0.39085153651188914,0.3648916080633379,-0.29035822491534485
STL2,49442915,118653698,0.098802,47519412,46478741,0.038717,1.0223902579461006,1227352635.7930624,0.4166993177068952,500424232.30298984,-1.923503,-72.174957,0.7269284034900726,0.6056909402392054,-0.060085,-0.038903511251308705,-0.608282406840788,1.4526243066701499,1.4535443532097316,-0.6081354628448816
STc,23388821,24897304,0.0215316,22984995,29612191,0.024667,0.7762004169161275,931811529.5739247,0.9394117933411585,1086255596.4257183,-0.403826,4.714887,-0.15444406685179365,-0.16321137642503103,0.0031354,-0.01726576983080934,0.1893733956094202,-0.14218022660595336,-0.17373784061678144,0.14561853276115105
