name,perf,gem5,% difference
CCa,913874,97672,-835.656073388484
CCe,943064,135591,-595.5210891578349
CCh,2068826,1836261,-12.665138561457223
CCh_st,912850,171595,-431.9793700282642
CCl,910074,175471,-418.6463860125035
CCm,921390,121519,-658.2271085180096
CF1,940316,64300,-1362.3888024883358
CRd,59244495,110627260,46.44674829693875
CRf,1003450,268491,-273.7369222804489
CRm,2148212,131375,-1535.1756422454805
CS1,916958,61564,-1389.4386329673187
CS3,1015152,182497,-456.2568151805235
DP1d,2039322,610240,-234.18359989512322
DP1f,1431584,321358,-345.4794963872068
DPT,1092734,422436,-158.67445009421544
DPTd,999233,232449,-329.871928896231
DPcvt,950380,135892,-599.3642009831336
ED1,1009262,84991,-1087.4927933545905
EF,940643,101116,-830.2612840697813
EI,874852,89588,-876.5281064428272
EM1,921898,68850,-1238.9949164851125
EM5,864470,84713,-920.4691133592247
MC,1266230,2487592,49.098164007602534
MCS,1988874,319834,-521.8457074607453
MD,1678322,924351,-81.56760797575812
MI,991404,272473,-263.85403324366087
MIM,1024695,378198,-170.9414116415211
MIM2,1000484,338964,-195.15936795647914
MIP,1038205,150858,-588.2001617415052
ML2,2691546,3183333,15.448807900398734
ML2_BW_ld,2012816,2354936,14.527783345279872
ML2_BW_ldst,10509955,2452794,-328.4891026315296
ML2_BW_st,9780256,986587,-891.3222047320713
ML2_st,12473457,3247762,-284.06314871594657
MM,67466614,13151672,-412.9888732018256
MM_st,72883492,13036932,-459.05401669656635
M_Dyn,1989583,244604,-713.3893967392194
STL2,7529321,244750,-2976.331358529111
STL2b,6132238,727919,-742.4341169827961
STc,1066489,132492,-704.9459590012982
