name,diff
MM_st,-59846560
MM,-54314942
ML2_st,-9225695
ML2_BW_st,-8793669
ML2_BW_ldst,-8057161
STL2,-7284571
STL2b,-5404319
CRm,-2016837
M_Dyn,-1744979
MCS,-1669040
DP1d,-1429082
DP1f,-1110226
STc,-933997
ED1,-924271
MIP,-887347
CF1,-876016
CS1,-855394
EM1,-853048
EF,-839527
CS3,-832655
CCa,-816202
DPcvt,-814488
CCe,-807473
CCm,-799871
EI,-785264
EM5,-779757
DPTd,-766784
MD,-753971
CCh_st,-741255
CRf,-734959
CCl,-734603
MI,-718931
DPT,-670298
MIM2,-661520
MIM,-646497
CCh,-232565
ML2_BW_ld,342120
ML2,491787
MC,1221362
CRd,51382765
