name,diff
MM_st,-8921944
MM,-8901956
ML2_st,-2075565
ML2_BW_ldst,-2073476
ML2_BW_st,-1864471
STL2,-1752161
STL2b,-1054668
ML2,-610509
CRm,-605985
ML2_BW_ld,-597814
M_Dyn,-590285
DP1d,-502993
CRd,-462164
DP1f,-448958
MD,-437510
MIM2,-418263
MIM,-417608
MCS,-405909
STc,-399637
ED1,-385061
CCh,-381186
MIP,-364219
MC,-362548
DPTd,-360695
CCh_st,-358576
DPT,-357639
EM1,-357445
DPcvt,-357289
CRf,-356467
CS3,-354896
EF,-354818
CF1,-353067
CS1,-352951
MI,-352540
CCl,-349245
CCe,-348343
CCa,-346391
CCm,-346388
EM5,-346379
EI,-345404
