name,diff
CRd,-0.6769626926641877
MC,-0.3875858599543527
ML2_BW_ld,-0.33536812419615103
MIM,-0.33031705358179747
MIM2,-0.32773225689566243
ML2,-0.2686157042242637
ED1,-0.1715204344203983
DPcvt,-0.14920343799322366
CS1,-0.1477296961823769
CCh,-0.11159144486293193
CF1,-0.08948584664304338
EM1,-0.07079411206662767
MIP,-0.060649369739117
DPT,-0.043135514875532355
DPTd,-0.039271665408368184
STL2,-0.026018271793963904
ML2_BW_ldst,-0.020904759674518075
MD,-0.007216698809882738
EI,0.0055919219753741145
ML2_st,0.014349949235885506
DP1f,0.020227712609249604
EM5,0.024961137911090114
M_Dyn,0.03772204715158911
CS3,0.04234073038914371
EF,0.04800116514873337
DP1d,0.05920865829035338
CCm,0.08606669687103186
CCh_st,0.08860728909459381
MI,0.10002493897946751
CRf,0.10451502954805925
STc,0.1069458921329709
CCa,0.13741442282853
CCe,0.1427015399082141
ML2_BW_st,0.14445675533728372
STL2b,0.1563377028784597
CRm,0.16158914042748107
CCl,0.1865796143588323
MCS,0.3092828809798911
MM,0.34846462536127876
MM_st,0.3677699992994299
