name,diff
CRd,-762874935.8736352
MC,-147936945.3552381
ML2_BW_ld,-131688950.59326339
ML2,-124935897.43589741
MIM,-88677169.8750422
MIM2,-67330362.6659762
STL2,1288273.0822521448
ML2_BW_ldst,4445958.870736301
ML2_st,51787755.730751246
ED1,72979084.03859964
CS1,108247827.0777044
DPcvt,108356296.87366328
CF1,164481980.13323173
MIP,198970677.8864082
M_Dyn,203042542.34775192
EM1,205594656.69147798
ML2_BW_st,207233039.3695556
STL2b,225647147.2092871
CCh,225736554.24286366
DP1d,256889675.57025257
DP1f,262280599.0985046
DPTd,265944496.4565259
DPT,278639677.32675946
MD,289674492.6990503
EI,321796677.66776687
CS3,345990236.3823227
EF,353855570.82148445
EM5,357061684.85443485
CCm,412517975.0286858
MM,428160665.1806093
STc,428982430.0236065
MM_st,446968112.6757396
CCh_st,472422044.7368937
CCa,481774133.8234472
MI,482064199.859675
CRf,485158217.47006106
CCe,489610416.00576633
MCS,512809979.3986738
CRm,569426059.1512915
CCl,592611125.597817
