name,diff
CRm,-1.1638831710000002
MM_st,-0.051288001
MM,-0.047430001
ML2_st,-0.009108001000000001
ML2_BW_st,-0.007968
ML2_BW_ldst,-0.00763
STL2,-0.006801
STL2b,-0.0053750000000000004
M_Dyn,-0.002441
MCS,-0.0024400000000000003
DP1d,-0.0022370000000000003
DP1f,-0.0018809999999999999
CCa,-0.001841004
MIP,-0.001832
CS3,-0.001794
EM5,-0.0017939999999999998
CF1,-0.001788004
CCh_st,-0.0017660039999999998
STc,-0.001759
EM1,-0.001758
CS1,-0.001756
EF,-0.001756
DPcvt,-0.001749
CCe,-0.001747004
EI,-0.001743
ED1,-0.001733
CCm,-0.0017320039999999999
CCl,-0.001721004
MD,-0.001709
DPTd,-0.0017000000000000001
CRf,-0.001697004
MIM2,-0.0016899999999999997
MI,-0.001688
DPT,-0.001667
MIM,-0.001659
CCh,-0.0012780050000000002
ML2_BW_ld,-0.00082
ML2,-0.0007800000000000003
MC,-0.000183
CRd,0.041319905
