Benchmark,Instructions_perf,Cycles_perf,Seconds_perf,Branches_perf,BranchMisses_perf,Instructions_gem5,Cycles_gem5,Seconds_gem5,Branches_gem5,BranchMisses_gem5,IPC_gem5,IPS_gem5,IPC_perf,IPS_perf,BranchMissRate_gem5,BranchMissRate_perf,M_Instructions_diff,M_Cycles_diff,BIPS_diff,IPC_diff,Seconds_diff,M_Branches_diff,M_BranchMisses_diff,BranchMissRate_diff,M_Instructions_%diff,M_Cycles_%diff,BIPS_%diff,IPC_%diff,Seconds_%diff,M_Branches_%diff,M_BranchMisses_%diff
control_complex,8762291644,7975036102,6.671124953,3000852635,792482,8750008912,10750052124,8.954793,3000001354,766,0.8139503707582209,977131343.1812438,1.09871498159144,1313465375.8898046,2.553332180929409e-07,0.00026408561045517654,-12.282732,2775.016022,-0.3363340327085608,-0.28476461083321924,2.283668047000001,-0.851281,-0.791716,-0.0002638302772370836,-0.0014017716482206603,0.3479628162816811,-0.2560661581815295,-0.2591796922808409,0.3423212821059568,-0.0002836797082506519,-0.9990334165318582
control_conditional,5505845837,4510037691,3.782571685,2000409918,367147,5500007581,5500049995,4.581542,2000001152,626,0.9999922884337346,1200470841.6947832,1.2207981871165254,1455582681.7066653,3.1299981971210387e-07,0.00018353588266902405,-5.838256,990.012304,-0.2551118400118821,-0.22080589868279088,0.7989703149999996,-0.408766,-0.366521,-0.00018322288284931194,-0.001060374041126644,0.2195130887654482,-0.1752644100661904,-0.18087010696200756,0.211224104005315,-0.00020434111844870386,-0.9982949608739824
control_random,60050914453,49864429436,41.695663034,5003189302,3634157,60000005058,53665456443,44.703325,5000000907,2333248060,1.1180377291997534,1342182154.4146883,1.2042835971897392,1440219679.5391533,0.4666495273497757,0.0007263680785668581,-50.909395,3801.027007,-0.098037525124465,-0.08624586798998579,3.0076619660000006,-3.188395,2329.613903,0.46592315927120886,-0.0008477705204613531,0.0762272234936237,-0.06807123004723514,-0.07161591189255187,0.07213368842575918,-0.0006372725091024349,641.0328180648222
control_small_bbl,2003057004,2005148600,1.677460784,1000228349,170718,2000007752,4000050487,3.332042,1000001227,616,0.49999562718019264,600234856.5834404,0.998956887285062,1194100644.918564,6.159992441689274e-07,0.0001706790256151798,-3.049252,1994.901887,-0.5938657883351237,-0.4989612601048694,1.654581216,-0.227122,-0.170102,-0.00017006302637101087,-0.0015222991626852372,0.9948897986912292,-0.4973331107911967,-0.49948227641828746,0.9863605944065993,-0.00022707014875860112,-0.9963917103058846
control_switch,10912785137,11699296980,9.783440593,3000830637,1758541,10900007446,13400050858,11.162242,3000001111,676,0.813430304221014,976506999.7586505,0.9327727260582798,1115434292.595188,2.253332498849198e-07,0.0005860180772341269,-12.777691,1700.753878,-0.13892729283653737,-0.11934242183726573,1.378801407000001,-0.829526,-1.757865,-0.000585792743984242,-0.001170891833715025,0.14537231432858286,-0.12454995669292794,-0.1279437300247662,0.14093215918196775,-0.00027643212841538316,-0.9996155904241073
dependency_chain1,34033032592,32049377255,26.799344803,1002066875,2290095,34000007296,20000049652,16.660041,1000001099,612,1.699996144389572,2040811742.0599387,1.0618937248364329,1269920322.3875175,6.119993274127392e-07,0.0022853714229402106,-33.025296,-12049.327603,0.7708914196724213,0.6381024195531391,-10.139303803,-2.065776,-2.289483,-0.002284759423612798,-0.0009703894565000685,-0.3759613644636478,0.6070392024462641,0.6009098694423759,-0.3783414810150499,-0.002061515105965358,-0.9997327621779882
dependency_chain2,34018372766,17027859257,14.23910293,1001180426,1246856,34000007298,20000049652,16.660041,1000001099,612,1.6999961444895717,2040811742.1799862,1.9978067854898056,2389081175.4950914,6.119993274127392e-07,0.0012453859140869779,-18.365468,2972.190395,-0.3482694333151052,-0.2978106410002339,2.42093807,-1.179327,-1.246244,-0.0012447739147595652,-0.0005398690915150283,0.17454868225893747,-0.14577547087445994,-0.149068790417197,0.1700204066156013,-0.0011779365330899906,-0.9995091654529472
dependency_chain3,32017819345,16027071229,13.4034906,1001159701,1195659,32000007299,19000049714,15.827041,1000001099,612,1.684206503703046,2021856599.6638286,1.997733640009394,2388767247.316904,6.119993274127392e-07,0.0011942739992487972,-17.812046,2972.978485,-0.36691064765307546,-0.3135271363063479,2.4235504,-1.158602,-1.195047,-0.0011936619999213846,-0.0005563166500526084,0.18549730281478866,-0.15359832485362251,-0.1569414110205771,0.18081486922518528,-0.0011572599245082877,-0.9994881483767529
dependency_chain4,34019373202,18175416307,15.198789574,1001242406,22150463,34000007300,20000050165,16.660042,1000001099,612,1.6999961009847797,2040811619.802639,1.871724566160167,2238294900.81208,6.119993274127392e-07,0.022122977280289106,-19.365902,1824.633858,-0.1974832810094409,-0.1717284651753872,1.4612524260000015,-1.241307,-22.149851,-0.022122365280961693,-0.00056926098799673,0.10039020989561975,-0.0882293396360737,-0.0917487905433048,0.09614268418451634,-0.0012397667064053617,-0.999972370780692
dependency_chain5,32018276600,17164114564,14.352782237,1001160549,20734268,32000007301,19000050143,15.827042,1000001099,612,1.6842064657807994,2021856472.0432281,1.8654196510174261,2230806269.5649467,6.119993274127392e-07,0.02071023276008052,-18.269299,1835.935579,-0.2089497975217185,-0.18121318523662677,1.474259763000001,-1.15945,-20.733656,-0.020709620760753108,-0.0005705897050061714,0.10696360550113607,-0.0936655954272838,-0.09714338815815013,0.1027159569940043,-0.001158105961284737,-0.9999704836457212
