Benchmark,Type,Avg. Instructions,Avg. Cycles,Avg. Branches,Avg. Branch-Misses,Avg. Seconds,IPC,Branch-Miss-Rate,IPS
hmmer,test,19407715768.0,24718967279.0,2599335355.0,3915989.0,41.537043306,0.7851345709125893,0.0015065347349149567,467238739.76837844
hmmer,ref,2585272454204.0,3982732578399.0,345709000084.0,425344390.0,4271.193334528,0.6491202719021727,0.0012303538232925676,605281065.9037265
hmmer,train,375512343928.0,570069393936.0,50221355439.333336,79573920.0,885.280805274,0.6587133916018612,0.0015844638063607051,424173145.6176513
gromacs,ref,1518058919774.0,4714290308483.0,52251683712.0,587026764.0,4018.588208519,0.3220121843244084,0.011234599964961222,377759262.9560473
gromacs,test,3581742103.0,9489034870.0,207708033.0,6699556.0,7.938526318,0.3774611593349535,0.03225467933635479,451184761.4435282
gromacs,train,326542049369.3333,1022157826033.3334,11315362666.0,139210920.33333334,886.2739392936666,0.3194634341709619,0.012302824438109207,368443699.95757455
GemsFDTD,test,6539973446.0,37061197595.0,554547119.0,57033164.0,30.996690373,0.17646416927666472,0.10284638048944583,210989411.04037076
GemsFDTD,ref,1652103205867.0,11340232027397.0,38125782560.0,1200419094.0,11232.572435422,0.14568513253306145,0.031485756183780744,147081464.67474186
GemsFDTD,train,125683099530.33333,901177984293.0,3176316910.3333335,149281333.66666666,1069.8019161683333,0.13946534615904463,0.04699824919264765,117482589.65593131
tonto,ref,2552737082219.0,7206274797064.0,182415729973.0,11134526369.0,7220.147846161,0.35423809861636735,0.06103928850131543,353557452.9233923
tonto,test,3195818225.0,6541080490.0,201992745.0,34637454.0,8.032090468,0.4885765019840017,0.17147870335640025,397881253.67016226
tonto,train,1011364437267.0,2944022633650.6665,71889443900.66667,4626737598.0,3600.701627138334,0.34353147482867047,0.06435906785414838,280879823.43340796
bzip2,ref,439964621260.4,807013856846.6,51569248170.8,100215975.0,674.8513198082001,0.545176043171747,0.001943328215064907,651943040.4099123
bzip2,test,17622454466.0,38900312347.5,2307855979.0,5337582.5,32.535605712,0.4530157575234107,0.0023127883839236746,541635973.2777426
bzip2,train,885375683219.2222,1683398549845.3333,108505576769.88889,197985903.66666666,1408.735034920111,0.5259453759779991,0.001824661087112061,628489858.8253195
sphinx3,test,7251292882.0,23444360541.0,849512596.0,9555018.0,19.749443359,0.3092979597084247,0.011247647233237729,367164418.26678216
sphinx3,ref,2710967475.0,3379547650.0,410148333.0,5840389.0,2.827017376,0.8021687384700731,0.014239699469898857,958949703.675256
sphinx3,train,43075370487.0,156045836102.0,4117649067.0,22430484.0,130.520735505,0.27604306249378935,0.0054474006004455846,330027028.42836696
mcf,ref,302836144175.0,6931981776548.0,66665469656.0,866200538.0,7689.24096208,0.04368680615975405,0.01299324136572764,39384400.31577323
mcf,test,3551148879.0,63293245343.0,793904631.0,15313683.0,78.645977414,0.05610628527192032,0.019289071258736617,45153598.38821012
mcf,train,19061929562.0,457312127975.0,3881204584.6666665,80798747.33333333,760.9847898973334,0.04168253670946173,0.020817956273818185,25049028.331527755
milc,ref,995073884110.0,6536820177094.0,55505497908.0,3282944713.0,6864.301079334,0.15222598406437557,0.059146297875598906,144963612.84411287
milc,test,28125272183.0,172007719940.0,1603133558.0,87588803.0,242.003156867,0.1635116853639517,0.05463599870572979,116218616.92679107
milc,train,32719557986.666668,214664441867.33334,1848072859.3333333,111794316.66666667,303.807685451,0.1524218808762374,0.06049237512583509,107698256.34297156
namd,test,48137255141.0,105073372223.0,3037838941.0,13661557.0,98.01182327,0.4581299155302357,0.004497130119578647,491137227.4791068
namd,ref,1772626139021.0,3847106053699.0,105529902139.0,345491440.0,3218.710327193,0.46076872180755624,0.0032738724569736804,550725588.4585571
namd,train,48163310669.0,104688352094.66667,3039538346.6666665,14516885.0,87.64263235233334,0.4600637005485319,0.004776016402596156,549542036.5214274
perlbench,ref,921167714.3333334,1673991682.0,151953450.0,8557462.333333334,1.4009925723333332,0.5502821335604065,0.0563163411777313,657510776.6625355
perlbench,test,396149519.2,725915318.5,58787196.7,4560402.4,0.9070025241999999,0.5457241486769919,0.07757475532082993,436767824.3777924
perlbench,train,836145769.2,1531189606.0,117304983.84,9394349.0,1.33922539504,0.5460759176548381,0.08008482412659952,624350294.0556366
cactusADM,ref,3239343885630.0,11146178162375.0,6237966957.0,1236481234.0,9388.376390835,0.29062373115160833,0.1982186251583891,345037709.48001945
cactusADM,test,11047942309.0,36921796265.0,38378528.0,6939991.0,38.160234317,0.2992254826852206,0.18083004642595985,289514530.15785736
cactusADM,train,94334059338.0,342234177937.0,237395749.33333334,53857296.666666664,330.3337638353333,0.2756418423976504,0.22686714828682245,285571956.8073707
astar,test,22339833467.0,48893982107.0,3618713520.0,7679488.0,40.894851737,0.45690353913312526,0.0021221597005556827,546274959.2704312
astar,ref,549377842134.5,1818428353728.5,81600233739.5,223659644.0,1521.4905535825,0.3021168477757495,0.002740919158565274,361078707.219664
astar,train,115165530167.66667,380660929634.3333,17695488838.833332,51292656.5,319.30644824416663,0.3025409786034407,0.0028986289651086994,360673988.2672276
bwaves,ref,1680528134821.0,12170252954205.0,85056155134.0,1610071659.0,12149.709508729,0.13808489775394134,0.01892951376021459,138318379.8438653
bwaves,test,21299411364.0,154495456830.0,1063170729.0,20729652.0,129.223212981,0.13786432171553714,0.01949795214875597,164826511.21769977
bwaves,train,120342737737.66667,886643520811.3334,6005787370.333333,160294755.66666666,1221.9666333086668,0.13572843528766293,0.02669004841204859,98482834.5204646
h264ref,test,107334617443.0,121511370060.0,6027199382.0,3569986251.0,101.646002139,0.8833298265833083,0.5923126189688742,1055964968.4620243
h264ref,ref,1931706138352.6667,2536321437764.3335,96145178919.33333,40127212596.666664,2693.801681269667,0.7616172420382918,0.41736063157502423,717092929.2174907
h264ref,train,612730894593.3334,787572135244.0,34023679756.666668,20807678101.666668,661.2836313803333,0.7779997122466775,0.6115646000221234,926578045.3605767
lbm,ref,1047537161400.0,12516612500697.0,12857572417.0,1216140643.0,11729.172769142,0.08369174657613367,0.09458555655436524,89310404.23890254
lbm,test,1543631.0,3448378.0,154822.0,51242.0,0.005446007,0.44763973091117043,0.33097363423802817,283442713.1658112
