Benchmark,instructions,cycles,seconds,branches,branch-misses
CCa,105305713,89106975,0.0751188,8433863,23572
CCe,270594268,230647479,0.1936301,18054059,32104
CCh,98737402,90190180,0.0760859,6596438,24915
CCh_st,141314093,142608863,0.120285,8443184,34669
CCl,90302322,100447995,0.0845177,1098067,28981
CCm,105288499,93258751,0.0786864,8432866,22235
CRd,196947436,156998830,0.1319401,15394912,970322
CRf,317006802,251623816,0.211300,20690316,432441
CS1,185898957,153745274,0.1291914,33612250,68720
CS3,187306001,155780565,0.1309875,33606040,138175
DP1d,43153008,61566162,0.052174,1424068,25548
DP1f,24960735,28233013,0.025221,859036,19775
DPT,26170267,27509023,0.0236567,2496016,18371
DPTd,25397594,25902990,0.0223020,2500823,17854
DPcvt,20841494,28072364,0.0240988,857482,18011
ED1,28341431,38782443,0.0331047,2036053,18443
EF,112520137,195195047,0.1639894,2047498,30803
EI,176449150,145703265,0.122328,2042539,26735
EM1,22322853,26735341,0.0230025,2034870,17376
EM5,66374546,76853497,0.0649520,2038130,20848
MC,75153822,151785955,0.13010,880148,31439
MCS,67733639,127870429,0.12154,876835,27355
MD,41996438,103224793,0.0869516,4212563,27650
MI,80729894,83019999,0.0701030,865204,22054
MIM,19155816,21587459,0.0187150,248383,18753
MIM2,19147372,21960969,0.018663,247796,18151
MIP,102364302,185085683,0.1554293,56608,38605
ML2_BW_ld,82565444,98544499,0.083503,1701329,29377
ML2_BW_ldst,50892757,90804813,0.076552,966987,68067
ML2_BW_st,27637159,63370349,0.053589,938387,56043
M_Dyn,56306379,100725124,0.084284,877875,29250
STL2,49017382,114859783,0.095976,1762823,61830
STc,23321276,24651422,0.0212590,1678238,17960
