Benchmark,Instructions,Cycles,Seconds,Branches,Branch-misses
control_complex,8762291644,7975036102,6.671124953,3000852635,792482
control_conditional,5505845837,4510037691,3.782571685,2000409918,367147
control_random,60050914453,49864429436,41.695663034,5003189302,3634157
control_small_bbl,2003057004,2005148600,1.677460784,1000228349,170718
control_switch,10912785137,11699296980,9.783440593,3000830637,1758541
dependency_chain1,34033032592,32049377255,26.799344803,1002066875,2290095
dependency_chain2,34018372766,17027859257,14.239102930,1001180426,1246856
dependency_chain3,32017819345,16027071229,13.403490600,1001159701,1195659
dependency_chain4,34019373202,18175416307,15.198789574,1001242406,22150463
dependency_chain5,32018276600,17164114564,14.352782237,1001160549,20734268
dependency_chain6,32018522123,17029472493,14.241334259,1001194090,1452557
execution_int_add_ind,34019071509,18028687570,15.075694766,1001209126,1298258
execution_int_mul_ind,34034263850,33052721875,27.638378451,1002142689,2720061
