Benchmark,Instructions,Cycles,Seconds,Branches,Branch-misses
998.specrand,18931961367,38298045133,42.027599921,2210493667,342908688
999.specrand,18938894959,37225608239,41.138195778,2211054467,342749207
GemsFDTD,1655983035668,10646593184865,8917.416383876,38718255019,1120210395
astar,1104115928733,3397663337588,2850.800079551,163891788187,486656964
bwaves,1681999445553,11684043524166,9780.931977209,85389291250,1479137370
bzip2,3128326552272,5611096500726,4703.676843222,361784647836,805000337
cactusADM,3244401218895,11110113273450,9299.007279210,6892248703,1545770058
calculix,5971182920234,10748633043486,9003.032331072,520514819532,1311234738
gcc,1272064488369,3601960943011,3028.092789733,208153998735,8830040591
gobmk,2060120391588,2883272032264,2423.029354304,283450916036,2802771023
gromacs,1523677248810,4455323703568,3735.053685424,52962354323,655754585
h264ref,5799229724684,6719059787401,5629.985103141,288983845798,120084012193
hmmer,3818633878354,4534452535848,3801.268548941,510038689207,574629285
lbm,1050743030078,12030058073882,10068.085311183,13340035898,1183891701
leslie3d,1888286601337,12321142326040,10311.465532870,114314960275,1195617944
libquantum,2175690843022,12347183152014,10333.518171261,398714457943,1225861278
mcf,304283952516,5658650784183,4741.296681129,66992697292,690538428
milc,996495496210,6416562936429,5374.890774785,55863209115,3072080564
namd,1779288127026,3843732973078,3224.298174779,106314207905,480818001
omnetpp,635839646292,3637595769253,3053.430923202,103399269926,11330066404
povray,1311109044457,2499630319289,2106.203655175,107494553187,13404038851
sjeng,2941042667261,3566974109039,2992.356080071,401990416695,16997886584
sphinx3,3535409471937,11109444587382,9304.685188668,323365596042,1471613144
tonto,2555469149420,5936578572676,4973.491952492,182857488621,10875583613
zeusmp,1562641323749,7144320991745,5983.365538642,44914865624,776331358
