Benchmark,Instructions,Cycles,IPC
control_small_bbl,2000007752,2000049803,0.999979
control_conditional,5500007581,6000047771,0.916661
control_complex,8750008948,10750052053,0.813950
control_switch,10900007501,12800049644,0.851560
dependency_chain6,32000007302,32000049166,0.999999
dependency_chain5,32000007301,34000048944,0.941175
dependency_chain2,34000007298,34000048936,0.999999
dependency_chain1,34000007296,34000048936,0.999999
dependency_chain4,34000007300,34000048943,0.999999
execution_int_add_ind,34000007383,34000048185,0.999999
dependency_chain3,32000007299,34000048936,0.941175
execution_int_mul_ind,34000007386,51000048316,0.666666
control_random,60000005113,75041217334,0.799561
