Benchmark,Instructions,Cycles,IPC
control_complex,8763919672,7976118471,1.0987699974447884
control_conditional,5508067505,4513289700,1.2204108025682463
control_random,60083201997,49932507169,1.2032883066264684
control_small_bbl,2004019739,2007922287,0.9980564247803481
control_switch,10920554662,11568530869,0.9439880297388175
dependency_chain1,34053136499,32080915934,1.0614764419151075
dependency_chain2,34031806864,17055568732,1.9953486980559518
dependency_chain3,32030248191,16053695929,1.995194647553985
dependency_chain4,34030947725,18048272745,1.8855514987952384
dependency_chain5,32031710783,17055811503,1.8780525791672733
dependency_chain6,32031591663,17055326008,1.8780990552731274
execution_int_add_ind,34031567424,18049807764,1.885425477598455
execution_int_mul_ind,34056832366,33089753061,1.0292259450597052
