name,perf,gem5,% difference
control_complex,1.0987699974447884,0.999979,-9.879307209930255
control_conditional,1.2204108025682463,0.916661,-33.13654694246252
control_random,1.2032883066264684,0.81395,-47.83319695638165
control_small_bbl,0.998056424780348,0.85156,-17.203300387564934
control_switch,0.9439880297388176,0.999999,5.601102627220867
dependency_chain1,1.0614764419151077,0.941175,-12.78204817543047
dependency_chain2,1.995348698055952,0.999999,-99.53506934066455
dependency_chain3,1.995194647553985,0.999999,-99.51966427506278
dependency_chain4,1.8855514987952384,0.999999,-88.55533843486228
dependency_chain5,1.8780525791672733,0.999999,-87.80544572217306
dependency_chain6,1.8780990552731276,0.941175,-99.54833641704546
execution_int_add_ind,1.885425477598455,0.666666,-182.8141044538727
execution_int_mul_ind,1.0292259450597052,0.799561,-28.7238803618117
