Benchmark,Instructions,Cycles,IPC
CCa,402870,913874,0.44083757717147004
CCe,429435,943064,0.4553614600917859
CCh,1568080,2068826,0.7579564448629319
CCh_st,460308,912850,0.5042537109054062
CCl,473227,910074,0.5199873856411676
CCm,411060,921390,0.4461303031289682
CF1,372806,940316,0.3964688466430434
CRd,85816166,59244495,1.4485086926641877
CRf,525002,1003450,0.5231969704519408
CRm,668070,2148212,0.3109888595725189
CS1,368604,916958,0.40198569618237695
CS3,442101,1015152,0.4355022696108563
DP1d,769339,2039322,0.3772523417096466
DP1f,587292,1431584,0.4102392873907504
DPT,553325,1092734,0.5063675148755323
DPTd,458143,999233,0.4584946654083682
DPcvt,393242,950380,0.41377343799322375
ED1,404551,1009262,0.4008384344203983
EF,402992,940643,0.4284218348512666
EI,385368,874852,0.4404950780246259
EM1,381027,921898,0.41330711206662774
EM5,386354,864470,0.44692586208890994
MC,623708,1266230,0.4925708599543527
MCS,601567,1988874,0.3024661190201089
MD,959038,1678322,0.5714266988098827
MI,523735,991404,0.5282760610205325
MIM,463901,1024695,0.4527210535817975
MIM2,464570,1000484,0.4643452568956625
MIP,415435,1038205,0.400147369739117
ML2,1338610,2691546,0.4973387042242637
ML2_BW_ld,1129343,2012816,0.561076124196151
ML2_BW_ldst,2637807,10509955,0.25098175967451813
ML2_BW_st,2232160,9780256,0.22823124466271638
ML2_st,2869245,12473457,0.23002805076411456
MM,16750029,67466614,0.24827137463872131
MM_st,16704532,72883492,0.22919500070057017
M_Dyn,683549,1989583,0.34356395284841096
STL2,1804449,7529321,0.2396562717939639
STL2b,1325853,6132238,0.2162102971215403
STc,472507,1066489,0.4430491078670291
