perf,gem5,% difference
402870,56479,-613.3093716248517
429435,81092,-429.5651852217235
1568080,1186894,-32.11626312037975
460308,101732,-352.4711988361577
473227,123982,-281.69008404445805
411060,64672,-535.6073725878279
372806,19739,-1788.677237955317
85816166,85354002,-0.5414672882004994
525002,168535,-211.50918206900644
668070,62085,-976.0570186035275
368604,15653,-2254.845716476075
442101,87205,-406.9674903961929
769339,266346,-188.84946648344635
587292,138334,-324.5463877282519
553325,195686,-182.76166920474637
458143,97448,-370.1409982760036
393242,35953,-993.7668622924374
404551,19490,-1975.6849666495639
402992,48174,-736.5342300826172
385368,39964,-864.2878590731658
381027,23582,-1515.753540836231
386354,39975,-866.4890556597874
623708,261160,-138.82217797518763
601567,195658,-207.45842234920116
959038,521528,-83.89003083247688
523735,171195,-205.9289114752183
463901,46293,-902.0975093426651
464570,46307,-903.2392510851491
415435,51216,-711.1430021868166
1338610,728101,-83.84949340819475
1129343,531529,-112.47062719061425
2637807,564331,-367.42195626325685
2232160,367689,-507.0782645115845
2869245,793680,-261.5115663743574
16750029,7848073,-113.42855755801456
16704532,7782588,-114.63980876284342
683549,93264,-632.918382226797
1804449,52288,-3350.9811046511627
1325853,271185,-388.91089108910893
472507,72870,-548.4245917387128
